browser,url,timestamp,rumSpeedIndex.median,rumSpeedIndex.mean,rumSpeedIndex.stddev,firstPaint.median,firstPaint.mean,firstPaint.stddev,loadEvent.median,loadEvent.mean,loadEvent.stddev,fullyLoaded.median,fullyLoaded.mean,fullyLoaded.stddev,size.median,size.mean,size.stddev,Brave's fully loaded speedup,Brave's Load time speedup,Brave's bandwidth savings,page type
,,,,,,,,,,,,,,,,size.mean,size.stddev,,,,
,,,,,,,,,,,,,,,,6545173.667,761966.8515,,,,
,,,,,,,,,,,,,,,,5330248.667,1451834.577,,,,
,,,,,,,,,,,,,,,,1981010,61248.76001,,,,
,,,,,,,,,,,,,,,,2564697.333,135031.2415,,,,
,,,,,,,,,,,,,,,,1414468.667,1910.648145,,,,
,,,,,,,,,,,,,,,,3143350,81998.22118,,,,
,,,,,,,,,,,,,,,,7596889.667,84322.64789,,,,
,,,,,,,,,,,,,,,,7390556.333,2472099.311,,,,
,,,,,,,,,,,,,,,,1568437.333,306.68605,,,,
,,,,,,,,,,,,,,,,2114529.333,109648.2278,,,,
,,,,,,,,,,,,,,,,3350245.667,3835.215031,,,,
,,,,,,,,,,,,,,,,3244384.333,1251785.228,,,,
,,,,,,,,,,,,,,,,2465621.333,4186.003982,,,,
,,,,,,,,,,,,,,,,2155205,124063.9681,,,,
,,,,,,,,,,,,,,,,2290760,12322.87495,,,,
,,,,,,,,,,,,,,,,8456706,159518.1124,,,,
,,,,,,,,,,,,,,,,14067270.33,1655959.996,,,,
,,,,,,,,,,,,,,,,6472626,736947.1904,,,,
,,,,,,,,,,,,,,,,2873656.333,98703.2657,,,,
,,,,,,,,,,,,,,,,2936160,42589.84954,,,,
,,,,,,,,,,,,,,,,2320095,143971.9683,,,,
,,,,,,,,,,,,,,,,4853546.667,586122.5545,,,,
,,,,,,,,,,,,,,,,8270567.333,4005681.061,,,,
,,,,,,,,,,,,,,,,2547060,2239.864058,,,,
,,,,,,,,,,,,,,,,2066171.667,75048.06764,,,,
,,,,,,,,,,,,,,,,4122588,13384.50152,,,,
,,,,,,,,,,,,,,,,3002816.333,42536.83599,,,,
,,,,,,,,,,,,,,,,2214977,220345.9598,,,,
,,,,,,,,,,,,,,,,1906092.333,12835.96519,,,,
,,,,,,,,,,,,,,,,1242251.333,47605.87432,,,,
,,,,,,,,,,,,,,,,2165552.667,113065.9698,,,,
,,,,,,,,,,,,,,,,3333102,56580.23457,,,,
,,,,,,,,,,,,,,,,3345417.667,510010.5854,,,,
,,,,,,,,,,,,,,,,3297931.667,289278.2766,,,,
,,,,,,,,,,,,,,,,7514089,1662065.268,,,,
,,,,,,,,,,,,,,,,2482523.333,17565.43621,,,,
,,,,,,,,,,,,,,,,1807244.667,987089.3481,,,,
,,,,,,,,,,,,,,,,874021.3333,93.297017,,,,
,,,,,,,,,,,,,,,,1815234.333,77206.66409,,,,
,,,,,,,,,,,,,,,,1401993.667,23605.59286,,,,
,,,,,,,,,,,,,,,,1779512.667,149836.4562,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1922201.333,356678.3559,,,,
,,,,,,,,,,,,,,,,1057501.333,358041.3404,,,,
,,,,,,,,,,,,,,,,1806274.333,577624.1256,,,,
,,,,,,,,,,,,,,,,2921041.667,34089.71344,,,,
,,,,,,,,,,,,,,,,1441923,221275.6338,,,,
,,,,,,,,,,,,,,,,1653910.667,326335.2111,,,,
,,,,,,,,,,,,,,,,1591909.333,64984.91533,,,,
,,,,,,,,,,,,,,,,1272141.667,6804.960127,,,,
,,,,,,,,,,,,,,,,2356026,76790.3712,,,,
,,,,,,,,,,,,,,,,6264838.667,75758.43347,,,,
,,,,,,,,,,,,,,,,1646057.333,4910.912984,,,,
,,,,,,,,,,,,,,,,960477.3333,344647.6962,,,,
,,,,,,,,,,,,,,,,1927301.333,128943.2279,,,,
,,,,,,,,,,,,,,,,1915532.667,46303.35147,,,,
,,,,,,,,,,,,,,,,2464635.667,152922.2018,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2122849,15716.72953,,,,
,,,,,,,,,,,,,,,,2255943,323293.746,,,,
,,,,,,,,,,,,,,,,3768012,128.175661,,,,
,,,,,,,,,,,,,,,,2522878,133212.5274,,,,
,,,,,,,,,,,,,,,,1846782.333,20253.5754,,,,
,,,,,,,,,,,,,,,,1772469.667,16678.08821,,,,
,,,,,,,,,,,,,,,,315684.3333,195461.646,,,,
,,,,,,,,,,,,,,,,1532997,101429.0964,,,,
,,,,,,,,,,,,,,,,2324809.667,5415.922113,,,,
,,,,,,,,,,,,,,,,1610579.333,279195.0447,,,,
,,,,,,,,,,,,,,,,1895655.333,447434.2042,,,,
,,,,,,,,,,,,,,,,2936015.333,17659.76399,,,,
,,,,,,,,,,,,,,,,19503075.67,2512258.362,,,,
,,,,,,,,,,,,,,,,9055703,1469742.4,,,,
,,,,,,,,,,,,,,,,2784347.333,126691.5526,,,,
,,,,,,,,,,,,,,,,6007507.667,778713.3425,,,,
,,,,,,,,,,,,,,,,1887511,334325.5618,,,,
,,,,,,,,,,,,,,,,5367413.667,174151.0804,,,,
,,,,,,,,,,,,,,,,8651727,40306.68033,,,,
,,,,,,,,,,,,,,,,8568444.667,443868.4894,,,,
,,,,,,,,,,,,,,,,3030949.333,8566.784772,,,,
,,,,,,,,,,,,,,,,3732400.667,94521.9317,,,,
,,,,,,,,,,,,,,,,4628422,2142.896871,,,,
,,,,,,,,,,,,,,,,12757804,2294888.063,,,,
,,,,,,,,,,,,,,,,3122995,14703.2713,,,,
,,,,,,,,,,,,,,,,4464235.333,93659.81396,,,,
,,,,,,,,,,,,,,,,5656644.667,4695446.558,,,,
,,,,,,,,,,,,,,,,14180440.67,4204112.637,,,,
,,,,,,,,,,,,,,,,26456551,6101184.761,,,,
,,,,,,,,,,,,,,,,9235294.667,101050.3702,,,,
,,,,,,,,,,,,,,,,4095479.667,79919.09312,,,,
,,,,,,,,,,,,,,,,4151272.333,396562.1283,,,,
,,,,,,,,,,,,,,,,2298631.333,381878.8242,,,,
,,,,,,,,,,,,,,,,6533887,254545.4335,,,,
,,,,,,,,,,,,,,,,14313225.33,1169883.557,,,,
,,,,,,,,,,,,,,,,2856530.333,4366.464054,,,,
,,,,,,,,,,,,,,,,2683405.333,389233.0825,,,,
,,,,,,,,,,,,,,,,4639196.667,27554.97707,,,,
,,,,,,,,,,,,,,,,2379433.667,56572.18039,,,,
,,,,,,,,,,,,,,,,2417310.333,219069.2181,,,,
,,,,,,,,,,,,,,,,2237825.333,49267.37608,,,,
,,,,,,,,,,,,,,,,5023017.667,616932.7542,,,,
,,,,,,,,,,,,,,,,2672146,107176.2089,,,,
,,,,,,,,,,,,,,,,4404821.333,543197.6045,,,,
,,,,,,,,,,,,,,,,5226283.667,253965.8501,,,,
,,,,,,,,,,,,,,,,6180890,181941.953,,,,
,,,,,,,,,,,,,,,,11653745.67,459141.7409,,,,
,,,,,,,,,,,,,,,,7001156.333,528942.7728,,,,
,,,,,,,,,,,,,,,,4895168,1226866.689,,,,
,,,,,,,,,,,,,,,,1919455.667,176455.7685,,,,
,,,,,,,,,,,,,,,,2992279.667,372094.6478,,,,
,,,,,,,,,,,,,,,,1415103,10417.47873,,,,
,,,,,,,,,,,,,,,,3192407.667,71145.42007,,,,
,,,,,,,,,,,,,,,,7518798.333,49177.06927,,,,
,,,,,,,,,,,,,,,,8088213.667,3010396.007,,,,
,,,,,,,,,,,,,,,,1561634,1731.047082,,,,
,,,,,,,,,,,,,,,,2151803,134816.6244,,,,
,,,,,,,,,,,,,,,,3347560,9378.19071,,,,
,,,,,,,,,,,,,,,,2516290,74477.15218,,,,
,,,,,,,,,,,,,,,,2454802.667,3525.943325,,,,
,,,,,,,,,,,,,,,,2102469.667,1143.031204,,,,
,,,,,,,,,,,,,,,,2296799.333,4890.07897,,,,
,,,,,,,,,,,,,,,,8495850.333,408171.28,,,,
,,,,,,,,,,,,,,,,14900377.67,86317.57113,,,,
,,,,,,,,,,,,,,,,8069987.333,1644500.914,,,,
,,,,,,,,,,,,,,,,3033820,71505.65832,,,,
,,,,,,,,,,,,,,,,2528507,346534.4664,,,,
,,,,,,,,,,,,,,,,1961183,20375.77564,,,,
,,,,,,,,,,,,,,,,4623439,274210.339,,,,
,,,,,,,,,,,,,,,,6755883.333,2245858.767,,,,
,,,,,,,,,,,,,,,,2574437.667,314.816349,,,,
,,,,,,,,,,,,,,,,1979777,814.117928,,,,
,,,,,,,,,,,,,,,,4099206,1931.509513,,,,
,,,,,,,,,,,,,,,,3054912.667,27887.17744,,,,
,,,,,,,,,,,,,,,,2181396.667,298584.973,,,,
,,,,,,,,,,,,,,,,1906289.667,7460.495046,,,,
,,,,,,,,,,,,,,,,1259217.667,70570.09732,,,,
,,,,,,,,,,,,,,,,2106054,111407.0685,,,,
,,,,,,,,,,,,,,,,3344976.667,124771.1537,,,,
,,,,,,,,,,,,,,,,3342467,374155.8045,,,,
,,,,,,,,,,,,,,,,3057197,65473.9884,,,,
,,,,,,,,,,,,,,,,6913913.333,2011920.302,,,,
