browser,url,timestamp,rumSpeedIndex.median,rumSpeedIndex.mean,rumSpeedIndex.stddev,firstPaint.median,firstPaint.mean,firstPaint.stddev,loadEvent.median,loadEvent.mean,loadEvent.stddev,fullyLoaded.median,fullyLoaded.mean,fullyLoaded.stddev,size.median,size.mean,size.stddev,Brave's fully loaded speedup,Brave's Load time speedup,Brave's bandwidth savings,page type
Chrome,https://www.amazon.com/gcx/The-Halloween-Store/gfhz/events/ref=HWN19_GW_Desk_Bubbler_v1_EN_Store?categoryId=halloween&pf_rd_p=df38492c-e370-4baa-9c52-151952b6ea64&pf_rd_r=QRVJFCHM20T0MEV0CNN2&scrollState=eyJpdGVtSW5kZXgiOjAsInNjcm9sbE9mZnNldCI6LTk2MS4wNzgxMjV9&sectionManagerState=eyJibGFja2xpc3QiOnt9fQ%3D%3D,2019-11-03T03:23:29+00:00,1799,1794,8,1799,1794,8,3553,3551,80,7922,8140,308,1984476,2574163.667,492148.3693,-8%,-11%,-5%,ecommerce
Chrome,https://www.bestbuy.com/site/electronics/top-deals/pcmcat1563299784494.c?id=pcmcat1563299784494,2019-11-03T03:29:56+00:00,2464,2575,176,2464,2575,176,11916,12101,557,17459,17965,933,4132237,4124573,2209.110454,31%,1%,9%,ecommerce
Chrome,https://www.walmart.com/ip/Way-to-Celebrate-Halloween-White-Bag-of-Bones-Decoration-Set-of-12/44429200,2019-11-03T03:37:03+00:00,3098,3070,232,3098,3070,232,9654,10262,1252,13670,13782,644,3025512,3020688.333,36287.21359,28%,41%,18%,ecommerce
Chrome,https://www.target.com/c/halloween/-/N-5xt2o?lnk=Halloweenisalmo,2019-11-03T03:44:08+00:00,1071,1040,68,1071,1040,68,13025,12880,6261,18455,16990,6233,1960552,1886478,60228.27865,52%,61%,5%,ecommerce
Chrome,https://www.etsy.com/featured/halloween-costumes-and-decor-ideas?ref=primary_hero,2019-11-03T03:50:44+00:00,3018,3037,131,3018,3037,131,9656,9531,272,10073,11573,2580,1920914,1955374.667,49395.45179,40%,40%,8%,ecommerce
Chrome,https://www.salon.com/,2019-11-02T22:56:19+00:00,904,937,61,904,937,61,22968,29699,11442,26333,32943,11523,1218022,1139739.333,149143.2718,94%,94%,83%,landing
Chrome,https://www.thedailybeast.com/,2019-11-02T23:05:16+00:00,1558,1568,265,1558,1568,265,8167,8354,751,11354,10779,838,2239649,7217267.333,1073349.135,41%,22%,26%,landing
Chrome,https://www.buzzfeed.com/,2019-11-02T23:12:17+00:00,1281,1099,267,824,845,110,16307,15629,1289,16485,15817,1285,3395774,3096639,16531.37838,59%,60%,32%,landing
Chrome,https://www.independent.co.uk/us,2019-11-02T23:20:25+00:00,751,750,11,751,750,11,19477,18069,2190,24681,22535,3397,3730504,3315753,275929.8677,55%,65%,48%,landing
Chrome,https://nypost.com/,2019-11-02T23:29:06+00:00,2495,2900,589,2495,2900,589,23559,23542,794,26356,26705,1861,3304312,2993021.333,154545.6533,73%,74%,48%,landing
Chrome,https://www.sfgate.com/,2019-11-02T23:38:41+00:00,4419,4510,415,4086,4171,177,24838,24626,2128,29123,29388,1856,7818367,7208323,3000262.819,76%,73%,62%,landing
Firefox,https://tmz.com,2019-11-02T22:24:08+00:00,2338,2457,257,4368,4348,225,44247,45516,6090,55538,58299,5071,17239850,16115433.67,401001.2509,85%,82%,85%,landing
Firefox,https://uk.reuters.com,2019-11-02T22:36:12+00:00,772,883,307,729,729,100,15138,17365,3802,29226,28390,5077,10524079,9071509.667,2463237.981,68%,65%,93%,landing
Firefox,https://www.latimes.com/,2019-11-02T23:51:08+00:00,561,651,139,1854,1866,68,8192,8398,542,13203,13211,136,2757591,2762937,250445.9604,58%,38%,68%,landing
Firefox,https://www.cnet.com/,2019-11-02T23:57:55+00:00,1106,1156,86,2650,2594,106,4102,10041,8452,18025,20515,5537,5190120,6745863.333,445066.9576,51%,11%,67%,landing
Firefox,https://www.yahoo.com,2019-11-03T00:05:28+00:00,941,860,206,4850,5699,2532,12537,11376,2242,13830,13107,2085,2052394,2122452.333,55716.46762,5%,4%,31%,landing
Firefox,https://www.cnn.com,2019-11-03T00:13:24+00:00,695,926,332,1783,1791,18,20480,31244,16434,25571,36539,16617,5422686,5558941.667,131995.9718,64%,64%,64%,landing
Firefox,https://www.espn.com,2019-11-03T00:37:06+00:00,1602,1575,147,3186,3281,320,17304,17410,188,23710,23611,445,8614050,8653499.333,18678.23756,,,,landing
Firefox,https://www.tmz.com/2019/09/03/youtuber-brooke-houts-no-charges-animal-cruelty-dog-abusing-video/,2019-11-03T00:46:47+00:00,901,883,161,2899,2797,146,23202,23883,2549,28690,30277,3581,8178245,9164874.667,656433.9057,84%,81%,72%,article
Firefox,https://uk.reuters.com/video/2019/09/03/uk-pm-johnson-threatens-election-ahead-o?videoId=595311898&videoChannel=75,2019-11-03T00:56:23+00:00,1337,1066,387,2716,2734,254,9494,10884,2994,13902,15401,3079,3023998,3035407,3308.092048,29%,38%,63%,article
Firefox,https://www.vice.com/en_us/article/qvgnqq/tom-delonges-ufo-research-group-signs-contract-with-us-army-to-develop-far-future-tech,2019-11-03T01:03:46+00:00,1370,1372,327,2931,3247,594,15537,15073,717,20034,20022,529,3680029,4497329.667,215580.2475,35%,31%,43%,article
Firefox,https://sport.bt.com/football/frank-lampards-chelsea-kids-travel-to-the-original-academy-looking-to-emulate-the-ajax-of-last-season-S11364403422250,2019-11-03T01:12:29+00:00,1922,1808,213,4031,13392,13589,16155,25103,13075,19401,27842,12752,4629859,4702820.667,3342.891164,0%,-19%,37%,article
Firefox,https://www.salon.com/2019/09/01/planning-an-outdoor-barbecue-for-labor-day-follow-these-pro-tips-from-the-masters-of-the-craft/,2019-11-03T01:21:32+00:00,1085,1340,430,1103,1379,401,34121,38100,5638,39403,41972,5052,11404374,11867265.67,336234.6081,92%,91%,85%,article
Firefox,https://www.vice.com,2019-11-02T22:44:02+00:00,882,882,6,2833,3042,359,13174,12962,444,17841,17864,253,3130253,2822426.333,267306.5478,55%,65%,53%,landing
Firefox,https://www.thedailybeast.com/hbos-watchmen-is-a-spectacular-assault-on-white-supremacy,2019-11-03T01:30:55+00:00,677,734,92,775,833,99,19428,15747,5340,23963,20692,4839,4502445,8264038.667,2973888.87,61%,54%,63%,article
Firefox,https://www.buzzfeed.com/jasminsuknanan/things-to-help-make-your-room-more-adult-even-if-youre?origin=hpp,2019-11-03T01:38:36+00:00,1087,1253,269,1425,1437,18,3145,8439,7503,12780,16500,6626,11077727,3702886.667,131961.752,57%,-69%,89%,article
Firefox,https://www.independent.co.uk/news/world/asia/thai-king-royal-consort-titles-stripped-military-maha-vajiralongkorn-sineenat-a9165091.html,2019-11-03T01:49:46+00:00,685,638,86,874,847,58,39006,47244,16863,47119,56930,17997,12789823,13045460.33,512564.1017,77%,85%,82%,article
Firefox,https://nypost.com/2019/10/21/dallas-tornado-leaves-damage-devastation-after-tearing-through-texas/,2019-11-03T02:04:36+00:00,1678,1632,447,3540,3662,766,86366,79221,15417,92920,100169,11960,26517691,32610740,11791939.61,81%,80%,76%,article
Firefox,https://www.sfgate.com/living/article/Apple-employee-and-Bay-Area-native-cost-of-living-14548437.php,2019-11-03T02:19:01+00:00,1039,1004,104,1168,1179,17,34278,38233,7482,38401,42832,6917,9320913,9477921.667,155985.954,86%,86%,82%,article
Firefox,https://www.latimes.com/california/story/2019-10-21/power-outages-california-pge-and-southern-california-edison-shutoffs-fire-weather,2019-11-03T02:28:34+00:00,1304,1191,323,1785,2040,364,13841,13830,534,19046,18451,1653,4074817,4110759,81246.27366,71%,62%,76%,article
Firefox,https://www.cnet.com/reviews/jabra-elite-active-65t-review/,2019-11-03T02:35:42+00:00,932,984,81,2358,2403,82,8026,7978,115,17594,17230,1259,4407742,4399498.333,99686.76209,46%,50%,53%,article
Firefox,https://news.yahoo.com/trump-clinton-gabbard-russian-agent-feud-185546791.html,2019-11-03T02:44:01+00:00,715,724,145,6548,5398,2289,21128,20321,3789,26101,24843,2366,2222905,2781070.667,1129820.584,20%,15%,13%,article
Firefox,https://www.cnn.com/2019/10/21/middleeast/turkey-erdogan-nuclear-weapons-intl/index.html,2019-11-03T02:53:46+00:00,854,841,25,2917,2917,31,23021,24154,2899,29532,30843,2280,6595852,9244710.667,4153798.277,70%,63%,64%,article
Firefox,https://www.espn.com/nba/story/_/id/27844219/nba-preview-2019-rankings-projections-big-questions-all-30-teams,2019-11-03T03:17:19+00:00,581,637,84,3240,3227,152,22266,22009,965,28354,28176,1047,15471062,9985315.667,1877526.61,,,,article
Firefox,https://sport.bt.com/,2019-11-02T22:51:18+00:00,1772,1633,319,3460,3402,275,9049,11028,3753,12146,14262,4556,2853812,2794950.667,2950.820959,32%,24%,25%,landing
Firefox,https://www.amazon.com/gcx/The-Halloween-Store/gfhz/events/ref=HWN19_GW_Desk_Bubbler_v1_EN_Store?categoryId=halloween&pf_rd_p=df38492c-e370-4baa-9c52-151952b6ea64&pf_rd_r=QRVJFCHM20T0MEV0CNN2&scrollState=eyJpdGVtSW5kZXgiOjAsInNjcm9sbE9mZnNldCI6LTk2MS4wNzgxMjV9&sectionManagerState=eyJibGFja2xpc3QiOnt9fQ%3D%3D,2019-11-03T03:24:58+00:00,809,771,75,1894,2056,259,3180,3862,967,8551,9803,1790,2464086,2642773.667,366501.9886,0%,-24%,16%,ecommerce
Firefox,https://www.bestbuy.com/site/electronics/top-deals/pcmcat1563299784494.c?id=pcmcat1563299784494,2019-11-03T03:31:52+00:00,1393,1362,62,3136,3087,153,8692,8462,736,15953,15555,709,4621516,4652421.667,47475.19249,25%,-36%,18%,ecommerce
Firefox,https://www.walmart.com/ip/Way-to-Celebrate-Halloween-White-Bag-of-Bones-Decoration-Set-of-12/44429200,2019-11-03T03:38:51+00:00,1217,1323,179,2892,2959,347,10569,10793,957,14018,13996,309,2416587,2421937.667,12021.19534,30%,46%,-3%,ecommerce
Firefox,https://www.target.com/c/halloween/-/N-5xt2o?lnk=Halloweenisalmo,2019-11-03T03:45:51+00:00,927,1341,596,1199,1603,610,6406,6891,735,11601,12252,1160,2670269,2513041,217940.727,24%,20%,31%,ecommerce
Firefox,https://www.etsy.com/featured/halloween-costumes-and-decor-ideas?ref=primary_hero,2019-11-03T03:52:26+00:00,2301,2265,66,3266,3225,66,7213,7541,801,10888,10738,1063,2269050,2166636.667,8995.586492,44%,19%,22%,ecommerce
Firefox,https://www.salon.com/,2019-11-02T22:59:11+00:00,933,926,33,1084,1087,10,21838,22025,1088,26708,27021,766,4340223,4846301.667,513433.3781,94%,93%,95%,landing
Firefox,https://www.thedailybeast.com/,2019-11-02T23:06:58+00:00,886,843,110,764,843,112,9580,9015,1096,15310,14738,1119,2611067,16825216.33,1064685.222,56%,33%,37%,landing
Firefox,https://www.buzzfeed.com/,2019-11-02T23:14:22+00:00,1040,1201,231,1248,1248,1,16624,14783,2931,21464,18243,4754,4649870,4591933,371108.8102,68%,61%,50%,landing
Firefox,https://www.independent.co.uk/us,2019-11-02T23:22:44+00:00,717,739,45,931,925,20,15375,15568,1806,21960,21371,1965,5115082,6864608,50286.87492,50%,56%,62%,landing
Firefox,https://nypost.com/,2019-11-02T23:31:51+00:00,1182,1182,96,3419,3877,999,28160,29083,1402,33333,33675,826,6340736,6147917,875391.1823,79%,78%,73%,landing
Firefox,https://www.sfgate.com/,2019-11-02T23:41:52+00:00,1832,1936,485,1376,1392,29,36223,34503,4024,41404,39288,4440,11961068,11731658,320308.3672,83%,81%,75%,landing
Opera,https://tmz.com,2019-11-02T22:29:18+00:00,3621,3647,121,3621,3647,121,60764,53228,10899,64047,57485,10190,7277237,5644754.333,30911.094,87%,87%,66%,landing
Opera,https://uk.reuters.com,2019-11-02T22:38:57+00:00,1906,1863,121,1906,1863,121,11003,12022,1497,17015,17239,1507,4159794,5065342.667,905357.8568,44%,52%,83%,landing
Opera,https://www.latimes.com/,2019-11-02T23:53:01+00:00,2026,2044,76,2026,2044,76,7580,7548,172,12178,12244,141,1835394,1858433.667,177620.1303,54%,33%,52%,landing
Opera,https://www.cnet.com/,2019-11-03T00:00:14+00:00,2339,2283,91,2339,2283,91,5289,5399,1216,14310,16681,4905,2848155,3281694.667,120158.9442,38%,31%,39%,landing
Opera,https://www.yahoo.com,2019-11-03T00:07:22+00:00,2166,2395,474,2166,2395,474,15857,20338,10320,19242,23965,10840,1409700,1405191,5196.343233,32%,24%,0%,landing
Opera,https://www.cnn.com,2019-11-03T00:16:36+00:00,3528,3502,89,3528,3502,89,14608,14726,907,19941,19247,1128,3138687,3387410.333,113952.4769,54%,50%,38%,landing
Opera,https://www.espn.com,2019-11-03T00:39:48+00:00,2525,2513,157,2375,2405,88,15967,17234,3002,19953,21573,4143,7467337,7567619,25321.23376,100%,100%,100%,landing
