browser,url,timestamp,rumSpeedIndex.median,rumSpeedIndex.mean,rumSpeedIndex.stddev,firstPaint.median,firstPaint.mean,firstPaint.stddev,loadEvent.median,loadEvent.mean,loadEvent.stddev,fullyLoaded.median,fullyLoaded.mean,fullyLoaded.stddev,size.median,size.mean,size.stddev,Brave's Load time speedup,Brave's fully loaded speedup,Brave's bandwidth savings,page type
Chrome,https://www.amazon.com/gcx/The-Halloween-Store/gfhz/events/ref=HWN19_GW_Desk_Bubbler_v1_EN_Store?categoryId=halloween&pf_rd_p=df38492c-e370-4baa-9c52-151952b6ea64&pf_rd_r=QRVJFCHM20T0MEV0CNN2&scrollState=eyJpdGVtSW5kZXgiOjAsInNjcm9sbE9mZnNldCI6LTk2MS4wNzgxMjV9&sectionManagerState=eyJibGFja2xpc3QiOnt9fQ%3D%3D,2019-10-31T22:36:27+00:00,1882,1778,162,1882,1778,162,4523,4786,534,6274,6542,537,1661279,1822046.667,170322.3211,9%,7%,-9%,ecommerce
Chrome,https://www.bestbuy.com/site/electronics/top-deals/pcmcat1563299784494.c?id=pcmcat1563299784494,2019-10-31T22:41:19+00:00,2899,3004,173,2899,3004,173,6687,6989,770,12518,12729,478,3915388,3917004,1461.039356,14%,45%,9%,ecommerce
Chrome,https://www.walmart.com/ip/Way-to-Celebrate-Halloween-White-Bag-of-Bones-Decoration-Set-of-12/44429200,2019-10-31T22:46:21+00:00,2832,2919,215,2832,2919,215,9259,9269,130,12888,12911,105,2771011,3082480.333,18249.92856,35%,34%,8%,ecommerce
Chrome,https://www.target.com/c/halloween/-/N-5xt2o?lnk=Halloweenisalmo,2019-10-31T22:51:13+00:00,1198,1165,73,1198,1165,73,9478,8771,1004,11915,11821,264,3004880,3306679.333,140601.3732,40%,31%,21%,ecommerce
Chrome,https://www.etsy.com/featured/halloween-costumes-and-decor-ideas?ref=primary_hero,2019-10-31T22:55:49+00:00,2899,2882,49,2899,2882,49,8316,8691,811,13632,14096,778,1448393,1452950.667,25389.47548,38%,23%,19%,ecommerce
Chrome,https://www.salon.com/,2019-10-31T19:05:35+00:00,764,798,85,764,798,85,16155,16867,1029,19768,20490,1165,1226086,1239110,43291.66945,88%,89%,85%,landing
Chrome,https://www.thedailybeast.com/,2019-10-31T19:11:33+00:00,1798,1843,127,1798,1843,127,7549,16813,13771,9859,18720,12719,1823114,1719009,41552.96243,61%,59%,25%,landing
Chrome,https://www.buzzfeed.com/,2019-10-31T19:18:04+00:00,882,893,16,882,893,16,12913,13053,222,13079,13224,223,3258508,3916357.333,223648.768,60%,60%,33%,landing
Chrome,https://www.independent.co.uk/us,2019-10-31T19:24:56+00:00,949,943,8,949,943,8,17114,19163,5030,22595,24032,4588,3002169,2802485.667,9460.017037,73%,57%,53%,landing
Chrome,https://nypost.com/,2019-10-31T19:32:32+00:00,2583,2657,181,2583,2657,181,18571,18608,1530,21333,21826,923,2951645,2638133.667,58235.57947,81%,80%,66%,landing
Chrome,https://www.sfgate.com/,2019-10-31T19:41:10+00:00,4265,4241,75,4082,4094,82,19329,19445,267,23357,23011,543,8244488,8660840.333,856138.368,75%,77%,71%,landing
Firefox,https://tmz.com,2019-10-31T18:39:55+00:00,1950,2028,176,3890,3814,250,24072,23932,390,28917,28923,218,10582596,13743396,350904.98,60%,55%,63%,landing
Firefox,https://uk.reuters.com,2019-10-31T18:47:08+00:00,807,933,227,900,1018,216,15448,15513,551,36414,36705,2002,6410167,4176307.667,375744.6531,81%,86%,77%,landing
Firefox,https://www.latimes.com/,2019-10-31T19:45:26+00:00,708,711,13,1784,1775,52,7966,7930,160,13034,13212,340,2048785,2464345.667,226918.798,55%,70%,71%,landing
Firefox,https://www.cnet.com/,2019-10-31T19:50:48+00:00,923,925,23,2269,2286,36,20904,21091,384,29396,29474,298,6807288,6532980.667,227362.7494,78%,64%,77%,landing
Firefox,https://www.yahoo.com,2019-10-31T19:56:50+00:00,542,591,70,2692,2655,336,6844,6979,261,7210,7296,386,2071150,2435245,30620.08441,-31%,-30%,33%,landing
Firefox,https://www.cnn.com,2019-10-31T20:03:04+00:00,1214,1302,489,1617,1678,86,21868,21165,1279,26829,26672,1096,4860416,5825763.333,212381.0406,78%,76%,66%,landing
Firefox,https://www.espn.com,2019-10-31T20:09:40+00:00,1859,1889,50,2818,2792,91,15066,15260,385,21401,21510,485,11020227,,,,,,landing
Firefox,https://www.tmz.com/2019/09/03/youtuber-brooke-houts-no-charges-animal-cruelty-dog-abusing-video/,2019-10-31T20:30:24+00:00,980,975,67,2453,2538,224,25862,25947,276,36938,35922,1800,8857356,8133183.333,35442.75616,87%,90%,82%,article
Firefox,https://uk.reuters.com/video/2019/09/03/uk-pm-johnson-threatens-election-ahead-o?videoId=595311898&videoChannel=75,2019-10-31T20:37:17+00:00,962,924,304,2802,2746,464,8514,8722,315,14368,14074,486,3008832,3025149.667,9249.627956,52%,46%,77%,article
Firefox,https://www.vice.com/en_us/article/qvgnqq/tom-delonges-ufo-research-group-signs-contract-with-us-army-to-develop-far-future-tech,2019-10-31T20:42:22+00:00,1157,1009,234,2536,2525,163,13544,13890,573,18157,18364,669,2950361,2853358,306381.1814,69%,56%,62%,article
Firefox,https://sport.bt.com/football/frank-lampards-chelsea-kids-travel-to-the-original-academy-looking-to-emulate-the-ajax-of-last-season-S11364403422250,2019-10-31T20:48:19+00:00,1758,1758,9,8905,8905,5605,19673,19673,5164,22494,22494,5083,5126280,5202200,1179.441817,37%,44%,34%,article
Firefox,https://www.salon.com/2019/09/01/planning-an-outdoor-barbecue-for-labor-day-follow-these-pro-tips-from-the-masters-of-the-craft/,2019-10-31T20:55:55+00:00,799,785,54,851,870,52,29623,29814,309,45266,43572,2885,10545045,6977385,133908.4487,78%,85%,88%,article
Firefox,https://www.vice.com,2019-10-31T18:53:17+00:00,1008,1001,45,3058,3098,708,9789,9703,1085,14050,14618,842,2697448,2376849.667,335506.0261,51%,45%,60%,landing
Firefox,https://www.thedailybeast.com/hbos-watchmen-is-a-spectacular-assault-on-white-supremacy,2019-10-31T21:03:44+00:00,785,783,63,1052,1057,35,18407,16009,3497,23854,21949,2863,4289238,4373089.667,131013.9453,75%,80%,73%,article
Firefox,https://www.buzzfeed.com/jasminsuknanan/things-to-help-make-your-room-more-adult-even-if-youre?origin=hpp,2019-10-31T21:09:05+00:00,1190,1179,25,1481,1477,21,11929,11885,210,24590,24880,482,3554208,3782024,145148.9812,31%,52%,62%,article
Firefox,https://www.independent.co.uk/news/world/asia/thai-king-royal-consort-titles-stripped-military-maha-vajiralongkorn-sineenat-a9165091.html,2019-10-31T21:17:16+00:00,1699,1368,487,867,883,23,43499,60602,28823,75320,86674,21200,31476595,23390882,7177077.699,90%,87%,93%,article
Firefox,https://nypost.com/2019/10/21/dallas-tornado-leaves-damage-devastation-after-tearing-through-texas/,2019-10-31T21:31:03+00:00,1777,1672,219,3453,3340,181,45604,45918,3518,104547,93631,17536,19076142,23155463.33,745721.6063,80%,90%,68%,article
Firefox,https://www.sfgate.com/living/article/Apple-employee-and-Bay-Area-native-cost-of-living-14548437.php,2019-10-31T21:43:37+00:00,689,783,143,1171,1259,139,36912,43260,9925,39497,45624,9395,8966919,8730988.333,503864.1612,86%,85%,67%,article
Firefox,https://www.latimes.com/california/story/2019-10-21/power-outages-california-pge-and-southern-california-edison-shutoffs-fire-weather,2019-10-31T21:52:44+00:00,1196,1365,573,2351,2371,745,16550,16138,963,21159,20937,769,3830828,4367434.333,186625.7164,76%,79%,84%,article
Firefox,https://www.cnet.com/reviews/jabra-elite-active-65t-review/,2019-10-31T21:58:11+00:00,1426,2195,1471,2186,2339,239,6856,7044,314,18572,18529,304,4321970,4241212.333,197527.8099,49%,56%,57%,article
Firefox,https://news.yahoo.com/trump-clinton-gabbard-russian-agent-feud-185546791.html,2019-10-31T22:03:22+00:00,974,969,211,2801,2668,339,8980,8768,422,14830,14630,549,4840211,4327202,967355.4416,61%,60%,60%,article
Firefox,https://www.cnn.com/2019/10/21/middleeast/turkey-erdogan-nuclear-weapons-intl/index.html,2019-10-31T22:08:29+00:00,1059,1226,324,2384,2567,620,23790,25942,3649,33612,35044,2049,7715605,8533849.333,326274.3018,62%,73%,67%,article
Firefox,https://www.espn.com/nba/story/_/id/27844219/nba-preview-2019-rankings-projections-big-questions-all-30-teams,2019-10-31T22:16:26+00:00,1533,2532,1990,3126,3167,244,22434,22737,939,27719,28080,812,15102914,,,,,,article
Firefox,https://sport.bt.com/,2019-10-31T18:58:15+00:00,1089,1270,299,2586,3459,1258,6729,7364,1078,8684,9578,1291,2671774,2828636,2768.410555,17%,31%,12%,landing
Firefox,https://www.amazon.com/gcx/The-Halloween-Store/gfhz/events/ref=HWN19_GW_Desk_Bubbler_v1_EN_Store?categoryId=halloween&pf_rd_p=df38492c-e370-4baa-9c52-151952b6ea64&pf_rd_r=QRVJFCHM20T0MEV0CNN2&scrollState=eyJpdGVtSW5kZXgiOjAsInNjcm9sbE9mZnNldCI6LTk2MS4wNzgxMjV9&sectionManagerState=eyJibGFja2xpc3QiOnt9fQ%3D%3D,2019-10-31T22:35:14+00:00,790,752,56,1769,1786,89,3079,3059,49,8539,8908,584,2012447,2024682,117980.6535,-34%,32%,10%,ecommerce
Firefox,https://www.bestbuy.com/site/electronics/top-deals/pcmcat1563299784494.c?id=pcmcat1563299784494,2019-10-31T22:39:40+00:00,1540,1545,78,3286,3263,69,6494,6696,336,15948,15896,1244,4438492,4520609.333,58127.26589,12%,57%,20%,ecommerce
Firefox,https://www.walmart.com/ip/Way-to-Celebrate-Halloween-White-Bag-of-Bones-Decoration-Set-of-12/44429200,2019-10-31T22:44:49+00:00,1129,1145,76,2684,2702,73,11262,11011,508,15605,15577,760,2718950,2464137,70128.73948,46%,45%,6%,ecommerce
Firefox,https://www.target.com/c/halloween/-/N-5xt2o?lnk=Halloweenisalmo,2019-10-31T22:49:54+00:00,904,1165,619,1120,1385,614,5135,5277,778,10138,10187,962,3421367,3240272.333,306973.2737,-11%,19%,30%,ecommerce
Firefox,https://www.etsy.com/featured/halloween-costumes-and-decor-ideas?ref=primary_hero,2019-10-31T22:54:32+00:00,1949,1935,27,2838,2824,21,6349,6583,446,9712,9622,904,1350409,1387706.333,9976.54496,19%,-8%,13%,ecommerce
Firefox,https://www.salon.com/,2019-10-31T19:03:10+00:00,674,668,36,690,773,140,24416,23612,2102,29315,28751,2279,10661057,3584262.667,179648.7261,92%,93%,98%,landing
Firefox,https://www.thedailybeast.com/,2019-10-31T19:09:49+00:00,708,752,82,816,877,99,16401,16514,707,21388,21470,378,2640781,2616436.333,3590.504189,82%,81%,48%,landing
Firefox,https://www.buzzfeed.com/,2019-10-31T19:16:07+00:00,1175,1207,113,1233,1234,14,18046,18080,208,18459,18480,177,4365109,4903003.667,19847.93859,72%,71%,50%,landing
Firefox,https://www.independent.co.uk/us,2019-10-31T19:22:42+00:00,834,793,69,917,923,21,24448,23452,8683,31806,30150,9592,4723561,5842290.333,1548213.053,81%,69%,70%,landing
Firefox,https://nypost.com/,2019-10-31T19:29:40+00:00,3339,2798,1284,2884,2847,119,33105,30384,4400,39935,37954,6284,4658679,5894536,149806.8585,89%,89%,78%,landing
Firefox,https://www.sfgate.com/,2019-10-31T19:37:36+00:00,2642,2594,190,1405,1387,47,34852,35368,1209,40448,42475,3468,10822464,10249922.67,1228833.407,86%,87%,78%,landing
Opera,https://tmz.com,2019-10-31T18:45:21+00:00,3683,3554,332,3683,3554,332,15109,15206,741,19243,19273,446,5202840,5242069,67139.07833,37%,33%,25%,landing
Opera,https://uk.reuters.com,2019-10-31T18:52:16+00:00,1648,1726,160,1648,1726,160,6218,6832,1182,12768,13135,614,2798700,2908558,172399.0655,54%,61%,48%,landing
Opera,https://www.latimes.com/,2019-10-31T19:49:06+00:00,2282,2338,207,2282,2338,207,7878,12484,6743,10226,14179,5816,1532069,1615403.667,85587.50356,54%,62%,61%,landing
Opera,https://www.cnet.com/,2019-10-31T19:55:40+00:00,2565,3649,1545,2565,3649,1545,4801,5560,2134,18128,19316,2051,3245946,3261525.667,249838.1294,6%,41%,51%,landing
Opera,https://www.yahoo.com,2019-10-31T20:01:38+00:00,2181,2142,201,2181,2142,201,8505,27028,26703,10615,28615,25918,1416967,1389286.333,33861.42038,-5%,12%,3%,landing
Opera,https://www.cnn.com,2019-10-31T20:08:09+00:00,3349,3493,253,3349,3493,253,13865,14987,2464,17536,18657,2509,3250699,3630081.333,69593.46276,66%,63%,49%,landing
Opera,https://www.espn.com,2019-10-31T20:28:39+00:00,2264,2603,539,2264,2603,539,13734,13196,801,18057,17729,663,5384087,,,,,,landing
Opera,https://www.tmz.com/2019/09/03/youtuber-brooke-houts-no-charges-animal-cruelty-dog-abusing-video/,2019-10-31T20:35:50+00:00,2715,2776,256,2715,2776,256,18142,18421,851,23803,24115,1202,4451465,4421281.667,117632.8261,81%,85%,64%,article
Opera,https://uk.reuters.com/video/2019/09/03/uk-pm-johnson-threatens-election-ahead-o?videoId=595311898&videoChannel=75,2019-10-31T20:41:11+00:00,3198,3099,255,3198,3099,255,7371,7261,259,9606,9434,377,1569752,1570525.333,12800.3897,45%,20%,57%,article
Opera,https://www.vice.com/en_us/article/qvgnqq/tom-delonges-ufo-research-group-signs-contract-with-us-army-to-develop-far-future-tech,2019-10-31T20:46:45+00:00,2215,2270,129,2215,2270,129,11119,11016,528,13886,14160,1508,1961311,2058307.333,83447.63163,62%,42%,42%,article
Opera,https://sport.bt.com/football/frank-lampards-chelsea-kids-travel-to-the-original-academy-looking-to-emulate-the-ajax-of-last-season-S11364403422250,2019-10-31T20:53:41+00:00,2747,10983,11894,2747,10983,11894,14605,22370,11517,19688,26311,9910,3857956,3928874,4304.751677,15%,36%,12%,article
Opera,https://www.salon.com/2019/09/01/planning-an-outdoor-barbecue-for-labor-day-follow-these-pro-tips-from-the-masters-of-the-craft/,2019-10-31T21:02:02+00:00,1065,1059,170,1065,1059,170,20385,21127,1648,24595,24835,1576,4112537,3612450.333,893853.6899,67%,72%,70%,article
Opera,https://www.vice.com,2019-10-31T18:57:17+00:00,2549,2915,806,2549,2915,806,7520,8221,1320,10148,10907,1242,1720996,1918281.333,184014.7672,36%,24%,38%,landing
Opera,https://www.thedailybeast.com/hbos-watchmen-is-a-spectacular-assault-on-white-supremacy,2019-10-31T21:07:50+00:00,1957,2006,288,1898,1987,293,8234,8219,166,9855,9799,187,2044453,2020967.667,37702.92687,45%,51%,43%,article
Opera,https://www.buzzfeed.com/jasminsuknanan/things-to-help-make-your-room-more-adult-even-if-youre?origin=hpp,2019-10-31T21:14:19+00:00,1601,1743,239,1549,1725,250,14336,13969,825,25478,25257,726,2886863,2831042,54312.08883,42%,53%,53%,article
Opera,https://www.independent.co.uk/news/world/asia/thai-king-royal-consort-titles-stripped-military-maha-vajiralongkorn-sineenat-a9165091.html,2019-10-31T21:26:35+00:00,2448,2186,685,2448,2186,685,47455,40332,11825,53117,45988,11735,7846255,7500674.333,340398.7024,91%,82%,71%,article
Opera,https://nypost.com/2019/10/21/dallas-tornado-leaves-damage-devastation-after-tearing-through-texas/,2019-10-31T21:41:04+00:00,2949,3110,289,2949,3110,289,28472,33090,11419,33941,38096,10675,8351065,8224880,209900.1377,68%,70%,26%,article
Opera,https://www.sfgate.com/living/article/Apple-employee-and-Bay-Area-native-cost-of-living-14548437.php,2019-10-31T21:50:57+00:00,2982,2976,89,2982,2976,89,26946,26084,1352,32365,30763,2279,9923797,9810869.333,112437.8683,81%,81%,70%,article
Opera,https://www.latimes.com/california/story/2019-10-21/power-outages-california-pge-and-southern-california-edison-shutoffs-fire-weather,2019-10-31T21:56:54+00:00,2048,1997,108,2048,1997,108,10325,10367,145,12617,13205,1019,3024004,2996222.333,28260.85208,61%,64%,80%,article
Opera,https://www.cnet.com/reviews/jabra-elite-active-65t-review/,2019-10-31T22:02:20+00:00,2715,2604,157,2715,2604,157,3412,3507,245,12539,13058,738,2940624,2948226.333,448.214606,-3%,35%,36%,article
Opera,https://news.yahoo.com/trump-clinton-gabbard-russian-agent-feud-185546791.html,2019-10-31T22:06:59+00:00,2249,2415,259,2249,2415,259,5067,5432,720,9028,8941,228,2136146,1922235.333,294977.5279,32%,34%,9%,article
Opera,https://www.cnn.com/2019/10/21/middleeast/turkey-erdogan-nuclear-weapons-intl/index.html,2019-10-31T22:14:33+00:00,2431,2415,225,2431,2415,225,15906,17155,2746,21323,22099,3153,4481097,5371894,418305.9289,44%,57%,43%,article
Opera,https://www.espn.com/nba/story/_/id/27844219/nba-preview-2019-rankings-projections-big-questions-all-30-teams,2019-10-31T22:33:58+00:00,2732,2626,162,2732,2626,162,17542,17795,566,23408,23609,559,12647999,,,,,,article
Opera,https://sport.bt.com/,2019-10-31T19:01:53+00:00,2848,2670,287,2848,2670,287,6727,6228,1021,8233,7975,949,2396262,2554480.667,2521.650518,17%,27%,2%,landing
Opera,https://www.amazon.com/gcx/The-Halloween-Store/gfhz/events/ref=HWN19_GW_Desk_Bubbler_v1_EN_Store?categoryId=halloween&pf_rd_p=df38492c-e370-4baa-9c52-151952b6ea64&pf_rd_r=QRVJFCHM20T0MEV0CNN2&scrollState=eyJpdGVtSW5kZXgiOjAsInNjcm9sbE9mZnNldCI6LTk2MS4wNzgxMjV9&sectionManagerState=eyJibGFja2xpc3QiOnt9fQ%3D%3D,2019-10-31T22:38:38+00:00,1631,1670,67,1631,1670,67,4362,4757,597,6620,6695,513,1817836,1842380.333,198114.3039,5%,12%,0%,ecommerce
Opera,https://www.bestbuy.com/site/electronics/top-deals/pcmcat1563299784494.c?id=pcmcat1563299784494,2019-10-31T22:43:45+00:00,2731,2648,155,2731,2648,155,6173,6127,139,12011,11998,233,3917721,3887038,8814.21874,7%,42%,9%,ecommerce
Opera,https://www.walmart.com/ip/Way-to-Celebrate-Halloween-White-Bag-of-Bones-Decoration-Set-of-12/44429200,2019-10-31T22:48:54+00:00,2664,2653,82,2664,2653,82,9537,9488,424,12499,12484,257,2939021,2865104,200265.8496,37%,31%,13%,ecommerce
Opera,https://www.target.com/c/halloween/-/N-5xt2o?lnk=Halloweenisalmo,2019-10-31T22:53:40+00:00,1314,1264,201,1314,1264,201,6018,6651,1698,8695,10074,2029,2994005,2600270,365533.4261,6%,5%,21%,ecommerce
Opera,https://www.etsy.com/featured/halloween-costumes-and-decor-ideas?ref=primary_hero,2019-10-31T22:58:17+00:00,2816,2826,96,2816,2826,96,7803,8199,575,13290,13604,561,1248886,1236441.333,32171.57978,34%,21%,6%,ecommerce
Opera,https://www.salon.com/,2019-10-31T19:08:16+00:00,1230,1353,273,1230,1353,273,18569,18289,499,21616,21617,149,1309525,1231298.333,24145.13753,90%,90%,86%,landing
Opera,https://www.thedailybeast.com/,2019-10-31T19:14:25+00:00,1981,1887,183,1981,1887,183,15422,19859,6411,15780,20210,6416,1761270,1767505.667,71130.58683,81%,74%,23%,landing
Opera,https://www.buzzfeed.com/,2019-10-31T19:20:50+00:00,926,919,163,914,915,163,15993,16388,1537,16158,16689,1417,3281824,3858506,84687.3834,68%,67%,33%,landing
Opera,https://www.independent.co.uk/us,2019-10-31T19:27:52+00:00,948,964,23,948,964,23,14992,13387,2968,16549,16177,1246,2792524,2790480,11924.99187,69%,41%,49%,landing
Opera,https://nypost.com/,2019-10-31T19:35:24+00:00,2615,2748,213,2615,2748,213,17052,17179,1408,22605,21825,2547,2857122,2657493,141620.2609,79%,81%,64%,landing
Opera,https://www.sfgate.com/,2019-10-31T19:44:07+00:00,4726,4876,514,4332,4527,782,18323,18037,459,22874,22894,720,8278509,8203896.667,1279721.35,74%,76%,71%,landing
,,,,,,,,,,,,,,,,size.mean,size.stddev,,,,
,,,,,,,,,,,,,,,,5980448.333,52628.27944,,,,
,,,,,,,,,,,,,,,,2657493,141620.2609,,,,
,,,,,,,,,,,,,,,,8203896.667,1279721.35,,,,
,,,,,,,,,,,,,,,,size.mean,size.stddev,,,,
,,,,,,,,,,,,,,,,5304643,102968.3402,,,,
,,,,,,,,,,,,,,,,2819051.333,204895.6513,,,,
,,,,,,,,,,,,,,,,1528060.333,113490.4063,,,,
,,,,,,,,,,,,,,,,3254985.667,6033.208295,,,,
,,,,,,,,,,,,,,,,1255685.667,241853.1324,,,,
,,,,,,,,,,,,,,,,3145262.667,301325.1994,,,,
,,,,,,,,,,,,,,,,6237326.667,1898449.578,,,,
,,,,,,,,,,,,,,,,4519687.667,13675.85995,,,,
,,,,,,,,,,,,,,,,1567176.333,870.79523,,,,
,,,,,,,,,,,,,,,,2028716.667,101586.4963,,,,
,,,,,,,,,,,,,,,,3844826.333,5656.079679,,,,
,,,,,,,,,,,,,,,,3812455.333,716080.2281,,,,
,,,,,,,,,,,,,,,,1828564.333,187066.4577,,,,
,,,,,,,,,,,,,,,,2039287,69660.53198,,,,
,,,,,,,,,,,,,,,,2705764.333,11010.6509,,,,
,,,,,,,,,,,,,,,,7232532.333,336405.8297,,,,
,,,,,,,,,,,,,,,,8426734.667,232660.7163,,,,
