browser,url,timestamp,rumSpeedIndex.median,rumSpeedIndex.mean,rumSpeedIndex.stddev,firstPaint.median,firstPaint.mean,firstPaint.stddev,loadEvent.median,loadEvent.mean,loadEvent.stddev,fullyLoaded.median,fullyLoaded.mean,fullyLoaded.stddev,size.median,size.mean,size.stddev,Brave's Load time speedup,Brave's fully loaded speedup,Brave's bandwidth savings,page type
,,,,,,,,,,,,,,,,9958240.333,57251.53556,,,,
,,,,,,,,,,,,,,,,2967674.667,128489.9087,,,,
,,,,,,,,,,,,,,,,2939680,2079.48359,,,,
,,,,,,,,,,,,,,,,2823556.333,634518.559,,,,
,,,,,,,,,,,,,,,,4711833.333,174393.9917,,,,
,,,,,,,,,,,,,,,,8340340.333,4877256.733,,,,
,,,,,,,,,,,,,,,,2365303,355.953649,,,,
,,,,,,,,,,,,,,,,1815879,146611.2447,,,,
,,,,,,,,,,,,,,,,3915153.333,1524.605632,,,,
,,,,,,,,,,,,,,,,2904149.667,190382.4216,,,,
,,,,,,,,,,,,,,,,3169510.667,142614.2566,,,,
,,,,,,,,,,,,,,,,1438159,17548.57211,,,,
,,,,,,,,,,,,,,,,1226088.333,8318.500245,,,,
,,,,,,,,,,,,,,,,1804519.333,49812.77211,,,,
,,,,,,,,,,,,,,,,3262440.667,3489.338237,,,,
,,,,,,,,,,,,,,,,3378782,328576.8259,,,,
,,,,,,,,,,,,,,,,2784804.667,219645.2206,,,,
,,,,,,,,,,,,,,,,8179371,169439.241,,,,
,,,,,,,,,,,,,,,,3917897.333,44292.58766,,,,
,,,,,,,,,,,,,,,,1024724.333,373977.1938,,,,
,,,,,,,,,,,,,,,,595173,39.153544,,,,
,,,,,,,,,,,,,,,,1607135.667,23445.24571,,,,
,,,,,,,,,,,,,,,,1370533,29965.76011,,,,
,,,,,,,,,,,,,,,,1646945.333,101.29824,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1593148.333,33.53108,,,,
,,,,,,,,,,,,,,,,678977.6667,58.106225,,,,
,,,,,,,,,,,,,,,,1128520.667,305.703015,,,,
,,,,,,,,,,,,,,,,3401130.333,4298.398927,,,,
,,,,,,,,,,,,,,,,1705608.333,484984.5923,,,,
,,,,,,,,,,,,,,,,1089307.667,39882.65493,,,,
,,,,,,,,,,,,,,,,1077516.667,76110.10574,,,,
,,,,,,,,,,,,,,,,1985792.667,545999.521,,,,
,,,,,,,,,,,,,,,,2235824,78480.15819,,,,
,,,,,,,,,,,,,,,,5938428,332543.0495,,,,
,,,,,,,,,,,,,,,,2103364.667,728918.6877,,,,
,,,,,,,,,,,,,,,,679241.3333,144702.1642,,,,
,,,,,,,,,,,,,,,,1935242.667,104032.8732,,,,
,,,,,,,,,,,,,,,,1930287,30661.53892,,,,
,,,,,,,,,,,,,,,,2607020.333,56309.28994,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2096747,226376.1607,,,,
,,,,,,,,,,,,,,,,1897664,147561.1264,,,,
,,,,,,,,,,,,,,,,3588110.333,26686.73184,,,,
,,,,,,,,,,,,,,,,2606928.667,96044.9435,,,,
,,,,,,,,,,,,,,,,2357939,22687.201,,,,
,,,,,,,,,,,,,,,,1171026,6399.378407,,,,
,,,,,,,,,,,,,,,,253510,131121.4423,,,,
,,,,,,,,,,,,,,,,1211731.667,130077.31,,,,
,,,,,,,,,,,,,,,,2197894.333,26695.39504,,,,
,,,,,,,,,,,,,,,,1534097,210410.6404,,,,
,,,,,,,,,,,,,,,,1216419,345493.9077,,,,
,,,,,,,,,,,,,,,,2382848.333,1955.928509,,,,
,,,,,,,,,,,,,,,,10657987,69375.20323,,,,
,,,,,,,,,,,,,,,,6553931.333,147448.1357,,,,
,,,,,,,,,,,,,,,,2127285.667,68071.66403,,,,
,,,,,,,,,,,,,,,,6806661.667,13632.29556,,,,
,,,,,,,,,,,,,,,,2234859,212533.781,,,,
,,,,,,,,,,,,,,,,5277215,380326.5001,,,,
,,,,,,,,,,,,,,,,10778169.33,216221.2077,,,,
,,,,,,,,,,,,,,,,9268280.667,360430.7416,,,,
,,,,,,,,,,,,,,,,3007030.333,5588.722961,,,,
,,,,,,,,,,,,,,,,2834896,143185.8841,,,,
,,,,,,,,,,,,,,,,5126280,2868.025104,,,,
,,,,,,,,,,,,,,,,9468575.333,1618630.795,,,,
,,,,,,,,,,,,,,,,2341160.667,323587.4274,,,,
,,,,,,,,,,,,,,,,4357205,59467.64775,,,,
,,,,,,,,,,,,,,,,3554499.333,11655.73101,,,,
,,,,,,,,,,,,,,,,24046286.67,6496384.933,,,,
,,,,,,,,,,,,,,,,25201056,5407617.161,,,,
,,,,,,,,,,,,,,,,9035707.333,71588.59129,,,,
,,,,,,,,,,,,,,,,3936045.667,95407.39979,,,,
,,,,,,,,,,,,,,,,4324110.333,14901.23419,,,,
,,,,,,,,,,,,,,,,4845406.333,7757.150078,,,,
,,,,,,,,,,,,,,,,7411150.333,680491.5027,,,,
,,,,,,,,,,,,,,,,15627403.33,918868.8457,,,,
,,,,,,,,,,,,,,,,2673776,3076.147591,,,,
,,,,,,,,,,,,,,,,2082592.667,124068.9934,,,,
,,,,,,,,,,,,,,,,4596760.333,139021.2548,,,,
,,,,,,,,,,,,,,,,2763267.333,64894.86703,,,,
,,,,,,,,,,,,,,,,3404492.667,15876.57313,,,,
,,,,,,,,,,,,,,,,1316446,29444.73293,,,,
,,,,,,,,,,,,,,,,6707795.667,3633304.422,,,,
,,,,,,,,,,,,,,,,2643607.333,2447.779878,,,,
,,,,,,,,,,,,,,,,4331243.667,51126.43627,,,,
,,,,,,,,,,,,,,,,7646557,3474966.231,,,,
,,,,,,,,,,,,,,,,5350225,1088233.738,,,,
,,,,,,,,,,,,,,,,10842056.33,137912.2402,,,,
,,,,,,,,,,,,,,,,5148051,66827.93152,,,,
,,,,,,,,,,,,,,,,2661395,133256.6671,,,,
,,,,,,,,,,,,,,,,1511647.667,24118.46476,,,,
,,,,,,,,,,,,,,,,3257410.333,23201.14511,,,,
,,,,,,,,,,,,,,,,1387571.667,50255.74373,,,,
,,,,,,,,,,,,,,,,3104040.333,128802.0244,,,,
,,,,,,,,,,,,,,,,6654477.667,2442352.719,,,,
,,,,,,,,,,,,,,,,4560116.333,111237.957,,,,
,,,,,,,,,,,,,,,,1568792.667,831.183093,,,,
,,,,,,,,,,,,,,,,2053553,79922.46397,,,,
,,,,,,,,,,,,,,,,3850372.667,7331.527081,,,,
,,,,,,,,,,,,,,,,5294037.667,1855960.732,,,,
,,,,,,,,,,,,,,,,1822638.667,174516.188,,,,
,,,,,,,,,,,,,,,,2102443,95753.75608,,,,
,,,,,,,,,,,,,,,,2818267.667,89154.06473,,,,
,,,,,,,,,,,,,,,,7606634.667,359785.5396,,,,
,,,,,,,,,,,,,,,,9861667.333,3196176.221,,,,
,,,,,,,,,,,,,,,,9948737.667,261030.1628,,,,
,,,,,,,,,,,,,,,,2998824.667,72806.22512,,,,
,,,,,,,,,,,,,,,,2935927.333,7735.658235,,,,
,,,,,,,,,,,,,,,,2069964.667,116569.4844,,,,
,,,,,,,,,,,,,,,,4503224.667,46979.54413,,,,
,,,,,,,,,,,,,,,,12643466.33,4407.814122,,,,
,,,,,,,,,,,,,,,,2398910.333,2357.272223,,,,
,,,,,,,,,,,,,,,,1760588,90415.83627,,,,
,,,,,,,,,,,,,,,,3916129.667,1439.842121,,,,
,,,,,,,,,,,,,,,,2960969.667,41451.1625,,,,
,,,,,,,,,,,,,,,,3101175,173767.476,,,,
,,,,,,,,,,,,,,,,1250875,18198.20494,,,,
,,,,,,,,,,,,,,,,1245336,57788.77281,,,,
,,,,,,,,,,,,,,,,1809834.333,42058.10224,,,,
,,,,,,,,,,,,,,,,3417090.333,225948.3273,,,,
,,,,,,,,,,,,,,,,2950933.333,158326.0658,,,,
,,,,,,,,,,,,,,,,2749428.333,131688.8691,,,,
,,,,,,,,,,,,,,,,8139094,259261.7957,,,,
